"Recipient Company","Parent Company","Award Date","Award Type","Grant Amount","Face Loan Amount","Awarding Agency","Program Name","Award Details","Data Source for Award","Facility Name","Facility State","Facility City","Notes","Ownership Structure","Stock Ticker Symbol","Parent Headquarters State","Parent Headquarters Country","Parent Sector","Parent Industry","Parent Total Workforce at end of 2019","Parent Latest Workforce Size","Parent Employment-related Penalties Since 2010","Parent Federal Corporate Income Tax Rate","Parent Total Federal, State, and Local Subsidies Since 2010","Parent Government-contracting-related Penalties Since 2010","Parent Environmental / Healthcare / Safety Penalties Since 2010","Parent Consumer Protection / Financial / Competition-related Penaties Since 2010","Parent Ratio of CEO Pay to that of Average Worker","CEO Pay","Median Worker Pay","Parent TARP Loans Received During Financial Crisis"
"Ampio Pharmaceuticals, Inc.","Ampio Pharmaceuticals, Inc.","20200420","loan","$0","$543,900","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1411906/000155837020004145/tmb-20200420x8k.htm",""," ","","","publicly traded","AMPE","Colorado","USA","pharmaceuticals","biopharmaceuticals","23","0","0","","0","0","0","0","","$305,000","$0","0"
"Ampla Health","Ampla Health","20200506","grant","$872,142","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Amplify Energy Corp.","Amplify Energy Corp.","20200424","loan","$0","$5,500,000","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1533924/000156459020021917/ampy-10q_20200331.htm",""," ","","","publicly traded","AMPY","Texas","USA","oil and gas","oil and natural gas development and production","230","0","0","","0","0","0","0","8.2 to 1","$975,117","$111,921","0"
"Amsterdam Nursing Home Corporation (1992)","Amsterdam Nursing Home Corporation (1992)","20200506","grant","$1,299,765","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Anaheim Global Medical Center Inc","Anaheim Global Medical Center Inc","20200506","grant","$1,652,144","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Anderson Oncology-Hematology Clinic","Anderson Oncology-Hematology Clinic","20200506","grant","$958,025","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","South Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"ANDERSON REGIONAL MEDI","ANDERSON REGIONAL MEDI","20200506","grant","$5,293,855","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Mississippi","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Androscoggin Home Health Services","Androscoggin Home Health Services","20200506","grant","$1,696,457","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Maine","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Androscoggin Valley Hospital Inc","Androscoggin Valley Hospital Inc","20200506","grant","$1,300,456","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Hampshire","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Anesthesia Group Practice Inc","Anesthesia Group Practice Inc","20200506","grant","$508,065","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Indiana","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Anesthesia Medical Group","Anesthesia Medical Group","20200506","grant","$746,083","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Kentucky","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Anesthesia Service Medical Group","Anesthesia Service Medical Group","20200506","grant","$680,057","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Anesthesiologists Associated Pc","Anesthesiologists Associated Pc","20200506","grant","$551,846","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Angela Hospice Home Care","Angela Hospice Home Care","20200506","grant","$1,062,350","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Michigan","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Angels Touch","Angels Touch","20200506","grant","$510,152","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Arizona","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Animas Surgical Hospital Llc","Animas Surgical Hospital Llc","20200506","grant","$613,498","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Colorado","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Anmed Health","Anmed Health","20200506","grant","$11,911,474","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","South Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Ann & Robert H. Lurie Children'S Hospital Of Chicago","Ann & Robert H. Lurie Children'S Hospital Of Chicago","20200506","grant","$18,344,512","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Illinois","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Anna Jaques Hospital","Anna Jaques Hospital","20200506","grant","$3,016,466","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Massachusetts","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Anne Arundel Health Care Services","Anne Arundel Health Care Services","20200506","grant","$580,197","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Maryland","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Anne Arundel Medical Center","Anne Arundel Medical Center","20200506","grant","$14,203,756","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Maryland","USA","healthcare services","healthcare services","0","0","0","","0","3154000","0","0","","$0","$0","0"
"Anne Arundel Medical Center (FKA Anne Arundel Health System)","Anne Arundel Medical Center","20200508","grant","$11,931,245","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","Maryland","USA","healthcare services","healthcare services","0","0","0","","0","3154000","0","0","","$0","$0","0"
"Anne Arundel Physician Group Llc","Anne Arundel Physician Group Llc","20200506","grant","$1,665,165","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Maryland","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Antelope Memorial Hospital","Antelope Memorial Hospital","20200506","grant","$501,741","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Nebraska","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Apex Global Brands Inc. (formerly Cherokee Inc.)","Apex Global Brands Inc. (formerly Cherokee Inc.)","20200420","loan","$0","$700,000","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/844161/000156459020018494/apex-8k_20200420.htm",""," ","","","publicly traded","APEX","California","USA","apparel","clothing brands","43","0","0","","0","0","0","0","","$930,633","$0","0"
"Apex Laboratory","Apex Laboratory","20200506","grant","$760,856","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"University of Phoenix","Apollo Education Group","20200409","grant","$3,294,716","$0","Education Department","Higher Education Emergency Relief Fund (for-profits only)","Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf",""," ","","","privately held","","Arizona","USA","miscellaneous services","educational services","0","0","4024000","","39779","0","0","191000000","","$0","$0","0"
"App Of Tennessee Ed Pllc","App Of Tennessee Ed Pllc","20200506","grant","$615,838","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
